data,valor,cdi_diario
2013-03-01,0.026778,0.00026778
2013-03-04,0.026815,0.00026815
2013-03-05,0.026815,0.00026815
2013-03-06,0.026815,0.00026815
2013-03-07,0.026815,0.00026815
2013-03-08,0.026815,0.00026815
2013-03-11,0.026815,0.00026815
2013-03-12,0.026815,0.00026815
2013-03-13,0.026815,0.00026815
2013-03-14,0.026815,0.00026815
2013-03-15,0.026815,0.00026815
2013-03-18,0.026815,0.00026815
2013-03-19,0.026815,0.00026815
2013-03-20,0.026815,0.00026815
2013-03-21,0.026815,0.00026815
2013-03-22,0.026815,0.00026815
2013-03-25,0.026815,0.00026815
2013-03-26,0.026815,0.00026815
2013-03-27,0.026815,0.00026815
2013-03-28,0.026889,0.00026889
2013-04-01,0.026926,0.00026926
2013-04-02,0.026926,0.00026926
2013-04-03,0.026889,0.00026889
2013-04-04,0.026889,0.00026889
2013-04-05,0.026889,0.00026889
2013-04-08,0.026889,0.00026889
2013-04-09,0.026889,0.00026889
2013-04-10,0.026889,0.00026889
2013-04-11,0.026889,0.00026889
2013-04-12,0.026889,0.00026889
2013-04-15,0.026889,0.00026889
2013-04-16,0.026852,0.00026852
2013-04-17,0.026852,0.00026852
2013-04-18,0.027742,0.00027742
2013-04-19,0.027742,0.00027742
2013-04-22,0.027742,0.00027742
2013-04-23,0.027742,0.00027742
2013-04-24,0.027742,0.00027742
2013-04-25,0.027742,0.00027742
2013-04-26,0.027705,0.00027705
2013-04-29,0.027705,0.00027705
2013-04-30,0.027705,0.00027705
2013-05-02,0.027705,0.00027705
2013-05-03,0.027705,0.00027705
2013-05-06,0.027742,0.00027742
2013-05-07,0.027742,0.00027742
2013-05-08,0.027705,0.00027705
2013-05-09,0.027742,0.00027742
2013-05-10,0.027705,0.00027705
2013-05-13,0.027668,0.00027668
2013-05-14,0.027668,0.00027668
2013-05-15,0.027668,0.00027668
2013-05-16,0.027668,0.00027668
2013-05-17,0.027668,0.00027668
2013-05-20,0.027668,0.00027668
2013-05-21,0.027668,0.00027668
2013-05-22,0.027668,0.00027668
2013-05-23,0.027668,0.00027668
2013-05-24,0.027668,0.00027668
2013-05-27,0.027668,0.00027668
2013-05-28,0.027668,0.00027668
2013-05-29,0.027668,0.00027668
2013-05-31,0.029514,0.00029514
2013-06-03,0.029514,0.00029514
2013-06-04,0.029514,0.00029514
2013-06-05,0.029514,0.00029514
2013-06-06,0.029514,0.00029514
2013-06-07,0.029514,0.00029514
2013-06-10,0.029514,0.00029514
2013-06-11,0.029514,0.00029514
2013-06-12,0.029514,0.00029514
2013-06-13,0.029514,0.00029514
2013-06-14,0.029514,0.00029514
2013-06-17,0.029514,0.00029514
2013-06-18,0.029514,0.00029514
2013-06-19,0.029514,0.00029514
2013-06-20,0.029514,0.00029514
2013-06-21,0.029514,0.00029514
2013-06-24,0.029514,0.00029514
2013-06-25,0.029514,0.00029514
2013-06-26,0.029514,0.00029514
2013-06-27,0.029514,0.00029514
2013-06-28,0.029514,0.00029514
2013-07-01,0.029514,0.00029514
2013-07-02,0.029514,0.00029514
2013-07-03,0.029514,0.00029514
2013-07-04,0.029514,0.00029514
2013-07-05,0.029514,0.00029514
2013-07-08,0.029514,0.00029514
2013-07-09,0.029514,0.00029514
2013-07-10,0.029514,0.00029514
2013-07-11,0.031353,0.00031353
2013-07-12,0.031353,0.00031353
2013-07-15,0.031353,0.00031353
2013-07-16,0.031353,0.00031353
2013-07-17,0.031353,0.00031353
2013-07-18,0.031353,0.00031353
2013-07-19,0.031353,0.00031353
2013-07-22,0.031353,0.00031353
2013-07-23,0.031353,0.00031353
2013-07-24,0.031353,0.00031353
2013-07-25,0.031353,0.00031353
2013-07-26,0.031353,0.00031353
2013-07-29,0.031353,0.00031353
2013-07-30,0.031353,0.00031353
2013-07-31,0.031353,0.00031353
2013-08-01,0.031389,0.00031389
2013-08-02,0.031389,0.00031389
2013-08-05,0.031353,0.00031353
2013-08-06,0.031353,0.00031353
2013-08-07,0.031353,0.00031353
2013-08-08,0.031353,0.00031353
2013-08-09,0.031353,0.00031353
2013-08-12,0.031353,0.00031353
2013-08-13,0.031353,0.00031353
2013-08-14,0.031353,0.00031353
2013-08-15,0.031353,0.00031353
2013-08-16,0.031353,0.00031353
2013-08-19,0.031353,0.00031353
2013-08-20,0.031353,0.00031353
2013-08-21,0.031353,0.00031353
2013-08-22,0.031353,0.00031353
2013-08-23,0.031353,0.00031353
2013-08-26,0.031353,0.00031353
2013-08-27,0.031353,0.00031353
2013-08-28,0.031353,0.00031353
2013-08-29,0.033182,0.00033182000000000003
2013-08-30,0.033182,0.00033182000000000003
2013-09-02,0.033182,0.00033182000000000003
2013-09-03,0.033182,0.00033182000000000003
2013-09-04,0.033182,0.00033182000000000003
2013-09-05,0.033182,0.00033182000000000003
2013-09-06,0.033182,0.00033182000000000003
2013-09-09,0.033182,0.00033182000000000003
2013-09-10,0.033182,0.00033182000000000003
2013-09-11,0.033182,0.00033182000000000003
2013-09-12,0.033182,0.00033182000000000003
2013-09-13,0.033182,0.00033182000000000003
2013-09-16,0.033182,0.00033182000000000003
2013-09-17,0.033182,0.00033182000000000003
2013-09-18,0.033182,0.00033182000000000003
2013-09-19,0.033146,0.00033146
2013-09-20,0.033109,0.00033109
2013-09-23,0.033109,0.00033109
2013-09-24,0.033109,0.00033109
2013-09-25,0.033511,0.00033511
2013-09-26,0.033182,0.00033182000000000003
2013-09-27,0.033146,0.00033146
2013-09-30,0.033146,0.00033146
2013-10-01,0.033146,0.00033146
2013-10-02,0.033109,0.00033109
2013-10-03,0.033109,0.00033109
2013-10-04,0.033584,0.00033584
